"Año";"Parámetro";"Denuncias"
"2023";"Agresión sexual con penetración";"14"
"2023";"Homicidios dolosos y asesinatos consumados";"2"
"2023";"Hurtos";"6.799"
"2023";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"652"
"2023";"Robos con violencia e intimidación";"655"
"2023";"Secuestro";"0"
"2023";"Sustracciones de vehículos";"148"
"2023";"Total";"16.632"
"2023";"Tráfico de drogas";"141"
"2024";"Agresión sexual con penetración";"19"
"2024";"Homicidios dolosos y asesinatos consumados";"7"
"2024";"Hurtos";"6.125"
"2024";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"602"
"2024";"Robos con violencia e intimidación";"589"
"2024";"Secuestro";"0"
"2024";"Sustracciones de vehículos";"152"
"2024";"Total";"16.622"
"2024";"Tráfico de drogas";"214"
"2025";"Agresión sexual con penetración";"21"
"2025";"Homicidios dolosos y asesinatos consumados";"1"
"2025";"Hurtos";"5.668"
"2025";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"386"
"2025";"Robos con violencia e intimidación";"464"
"2025";"Secuestro";"0"
"2025";"Sustracciones de vehículos";"196"
"2025";"Total";"15.038"
"2025";"Tráfico de drogas";"179"
