neighbourhood,precio_medio,precio_mediano,precio_std,num_propiedades,dormitorios_media,capacidad_media,reviews_media,puntuacion_media,precio_por_persona,precio_por_dormitorio
Can Baró,122.13333333333334,60.0,217.3275282734669,45,1.4,2.6,58.044444444444444,4.6995555555555555,46.97435897435898,87.23809523809526
Diagonal Mar i el Front Marítim del Poblenou,225.57627118644066,136.0,358.55845551967303,177,2.214689265536723,4.745762711864407,52.68361581920904,4.684689265536724,47.53214285714286,101.85459183673468
Horta,42.56,35.0,41.18968317430956,25,1.24,2.08,27.84,4.7792,20.461538461538463,34.322580645161295
Hostafrancs,124.55963302752293,89.5,266.5145029796357,218,1.6376146788990826,3.243119266055046,62.027522935779814,4.649449541284404,38.407355021216404,76.06162464985994
Montbau,36.07692307692308,0.0,45.25015937073507,13,1.3076923076923077,2.076923076923077,6.615384615384615,4.263846153846154,17.37037037037037,27.58823529411765
Navas,170.35064935064935,40.0,1020.9821479731349,77,1.5974025974025974,2.5584415584415585,23.74025974025974,4.69025974025974,66.58375634517766,106.64227642276423
Pedralbes,96.36363636363636,100.0,74.75159621281432,33,1.9090909090909092,3.121212121212121,26.060606060606062,4.626666666666667,30.87378640776699,50.476190476190474
Porta,55.25714285714286,50.0,54.85989795252398,35,1.4,2.3714285714285714,24.0,4.727714285714286,23.30120481927711,39.46938775510205
Provençals del Poblenou,104.79245283018868,86.0,82.6518477863487,106,1.8396226415094339,3.443396226415094,33.20754716981132,4.653962264150944,30.43287671232877,56.96410256410257
Sant Andreu,66.62650602409639,48.0,118.56681874949233,83,1.4457831325301205,2.6867469879518073,20.216867469879517,4.511686746987952,24.798206278026907,46.083333333333336
Sant Antoni,139.38523761375126,111.0,172.78651094587033,989,1.871587462082912,3.5945399393326594,64.70879676440849,4.635601617795753,38.77693389592123,74.47433819556996
Sant Genís dels Agudells,42.42857142857143,40.5,47.953044798995876,14,1.5714285714285714,2.7142857142857144,13.357142857142858,4.799285714285714,15.631578947368421,27.000000000000004
Sant Gervasi - Galvany,122.75949367088607,109.0,144.5373366628784,553,1.9023508137432188,3.367088607594937,24.491862567811935,4.548589511754068,36.45864661654135,64.53041825095058
Sant Gervasi - la Bonanova,106.19791666666667,89.5,119.64452786586445,96,1.7083333333333333,2.84375,21.0,4.6003125,37.34432234432234,62.16463414634147
Sant Martí de Provençals,49.375,41.0,52.81123373346532,72,1.3888888888888888,2.236111111111111,28.819444444444443,4.572777777777778,22.080745341614907,35.550000000000004
"Sant Pere, Santa Caterina i la Ribera",87.62776831345826,68.0,104.59488011816589,1174,1.4761499148211243,2.9804088586030666,33.604770017035776,4.631516183986371,29.40125750214347,59.362377380265436
Sants,105.96275071633238,81.0,147.5207029670957,349,1.6217765042979944,3.160458452722063,62.92836676217765,4.611031518624642,33.527651858567545,65.33745583038869
Sants - Badal,231.32075471698113,47.5,1229.1031489086859,212,1.7122641509433962,3.0660377358490565,31.41509433962264,4.607358490566038,75.44615384615385,135.09641873278235
Sarrià,124.0561797752809,109.0,161.2627979100744,89,1.651685393258427,3.134831460674157,16.02247191011236,4.631011235955056,39.57347670250896,75.10884353741496
Vallcarca i els Penitents,100.375,72.5,109.48387930460908,88,1.7272727272727273,3.4545454545454546,52.42045454545455,4.628295454545455,29.05592105263158,58.11184210526316
"Vallvidrera, el Tibidabo i les Planes",85.6842105263158,52.5,134.4054184202082,38,1.7105263157894737,3.5,26.973684210526315,4.850263157894737,24.481203007518797,50.0923076923077
Verdun,31.2,22.0,40.461975094790276,15,1.3333333333333333,2.466666666666667,14.066666666666666,4.623333333333333,12.648648648648647,23.400000000000002
Vilapicina i la Torre Llobeta,72.0,44.5,153.70648177511103,64,1.453125,2.5,22.546875,4.6315625,28.8,49.54838709677419
el Baix Guinardó,86.59235668789809,54.0,121.30143399780255,157,1.7261146496815287,2.9808917197452227,41.095541401273884,4.51375796178344,29.0491452991453,50.1660516605166
el Barri Gòtic,119.73162675474815,70.0,381.2004567768191,1211,1.5747316267547482,3.1230388109000824,37.50784475639967,4.584079273327828,38.33818085668959,76.03303618248557
el Besòs i el Maresme,163.6060606060606,59.0,870.0320057074656,132,1.6818181818181819,2.9318181818181817,24.068181818181817,4.685,55.80361757105943,97.27927927927927
el Bon Pastor,44.916666666666664,46.0,46.00485810973629,12,1.0,2.25,12.0,4.5874999999999995,19.962962962962962,44.916666666666664
el Camp d'en Grassot i Gràcia Nova,102.63975155279503,96.5,90.82584429123317,322,1.7453416149068324,3.4347826086956523,67.95962732919254,4.648975155279503,29.88245931283906,58.80782918149466
el Camp de l'Arpa del Clot,129.77115987460814,90.0,308.92432717471206,319,1.755485893416928,3.605015673981191,49.14420062695925,4.620626959247649,35.99739130434782,73.92321428571428
el Carmel,69.49462365591398,55.0,60.568434822667285,93,1.4946236559139785,2.78494623655914,27.559139784946236,4.633655913978495,24.953667953667953,46.49640287769785
el Clot,60.327586206896555,49.0,58.8211402195812,116,1.7327586206896552,2.5517241379310347,38.01724137931034,4.6850000000000005,23.64189189189189,34.81592039800995
el Coll,397.1714285714286,109.0,1626.7179423199177,35,1.8,4.285714285714286,60.4,4.523714285714286,92.67333333333333,220.65079365079364
el Congrés i els Indians,58.63461538461539,49.5,59.067269343455415,52,1.5384615384615385,2.576923076923077,27.403846153846153,4.730769230769231,22.753731343283583,38.1125
el Fort Pienc,139.3549019607843,123.5,145.17930626664742,510,1.9784313725490197,3.7980392156862743,64.19607843137256,4.5932352941176475,36.691275167785236,70.43706640237859
el Guinardó,74.18620689655172,53.0,79.91166878766279,145,1.4965517241379311,2.703448275862069,45.13103448275862,4.727931034482758,27.441326530612244,49.57142857142857
el Parc i la Llacuna del Poblenou,153.33668341708542,100.0,435.7970199960407,199,1.728643216080402,3.6030150753768844,74.24120603015075,4.679396984924623,42.557880055788004,88.70348837209302
el Poble Sec,138.8260381593715,95.0,276.2280852783321,891,1.7867564534231202,3.468013468013468,70.327721661055,4.611313131313132,40.030420711974116,77.69723618090453
el Poblenou,162.8347280334728,108.5,622.9207694377237,478,1.6506276150627615,3.3891213389121337,56.90376569037657,4.684163179916318,48.0462962962963,98.65019011406844
el Putxet i el Farró,94.29885057471265,82.0,87.49309180762994,261,2.053639846743295,3.2988505747126435,33.39463601532567,4.63,28.585365853658537,45.917910447761194
el Raval,82.63097514340345,64.0,107.82217188089031,1569,1.3945188017845762,2.7845761631612493,34.664754620777565,4.559738687061823,29.674525062943466,59.25411334552103
el Turó de la Peira,24.291666666666668,17.0,24.358694843787376,24,1.125,1.625,24.0,4.654583333333333,14.948717948717949,21.592592592592595
l'Antiga Esquerra de l'Eixample,129.9659300184162,106.0,136.88390499420098,1086,1.8802946593001841,3.6408839779005526,52.21823204419889,4.646123388581952,35.696256954982296,69.11998041136141
la Barceloneta,75.26877470355731,63.0,78.98965274560909,506,1.2411067193675889,2.4881422924901186,18.68379446640316,4.6696047430830045,30.25099285146942,60.646496815286625
la Bordeta,75.20430107526882,66.0,76.17707619632965,93,1.3763440860215055,2.6129032258064515,34.43010752688172,4.720752688172043,28.781893004115226,54.64062499999999
la Clota,91.6,108.0,57.03332359244024,5,5.2,11.2,0.6,4.884,8.178571428571429,17.615384615384613
la Dreta de l'Eixample,173.20377358490566,135.0,231.57938446946758,2385,1.8825995807127882,3.9337526205450732,64.46163522012579,4.654268343815514,44.03016414410573,92.00244988864142
la Font d'en Fargues,139.4,40.0,305.9247806709542,15,2.066666666666667,3.8666666666666667,7.466666666666667,4.494666666666666,36.05172413793104,67.45161290322581
la Font de la Guatlla,85.72357723577235,70.0,91.92542423010828,123,1.5284552845528456,2.9430894308943087,46.699186991869915,4.6085365853658535,29.12707182320442,56.085106382978715
la Guineueta,40.30769230769231,46.0,34.20619976793831,13,1.3846153846153846,1.7692307692307692,25.46153846153846,4.7215384615384615,22.782608695652176,29.11111111111111
la Marina de Port,43.478873239436616,38.0,47.98328850605313,71,1.2253521126760563,1.9295774647887325,25.028169014084508,4.75774647887324,22.532846715328464,35.48275862068965
la Marina del Prat Vermell,112.0,65.0,109.45394769795499,13,1.9230769230769231,3.4615384615384617,15.0,4.622307692307692,32.355555555555554,58.24
la Maternitat i Sant Ramon,92.51041666666667,90.0,74.40048030287333,96,1.9895833333333333,3.5833333333333335,69.5,4.669375,25.816860465116278,46.497382198952884
la Nova Esquerra de l'Eixample,138.97011207970112,87.0,230.52233132662386,803,2.0821917808219177,3.656288916562889,44.83437110834371,4.578879202988793,38.00851498637602,66.74222488038278
la Prosperitat,39.535714285714285,35.5,33.757832718367304,28,1.2857142857142858,2.0714285714285716,24.392857142857142,4.625,19.086206896551722,30.749999999999996
la Sagrada Família,172.00773860705073,123.0,439.62708431342264,1163,2.061908856405847,3.9638865004299224,69.91401547721411,4.632519346517626,43.393709327548805,83.42160133444537
la Sagrera,63.088235294117645,49.0,64.07195938106533,68,1.5588235294117647,2.6323529411764706,21.205882352941178,4.708823529411765,23.966480446927374,40.471698113207545
la Salut,89.87837837837837,77.0,108.44352771919418,74,1.6081081081081081,3.2162162162162162,55.054054054054056,4.665405405405406,27.945378151260503,55.890756302521005
la Teixonera,47.1578947368421,30.0,47.0357584514103,19,1.7894736842105263,3.1052631578947367,50.73684210526316,4.595789473684211,15.186440677966102,26.352941176470587
la Trinitat Nova,35.0,30.0,26.80485030736042,5,1.0,2.2,22.0,4.636,15.909090909090908,35.0
la Trinitat Vella,46.6,38.0,46.11868746325434,10,1.3,2.0,10.8,4.682,23.3,35.84615384615385
la Vall d'Hebron,53.666666666666664,34.0,48.25971404805462,9,1.5555555555555556,2.6666666666666665,20.444444444444443,4.147777777777778,20.125,34.5
la Verneda i la Pau,61.63461538461539,44.0,68.14172913031176,52,1.4423076923076923,2.576923076923077,21.057692307692307,4.640576923076923,23.917910447761194,42.733333333333334
la Vila Olímpica del Poblenou,206.93129770992365,175.0,233.97512000669897,131,2.1068702290076335,4.687022900763359,79.04580152671755,4.608625954198473,44.149837133550484,98.21739130434783
la Vila de Gràcia,120.89857651245552,99.0,133.8410376676596,1124,1.6307829181494662,3.3087188612099645,64.91992882562278,4.615845195729538,36.539392309760686,74.13529732678668
les Corts,116.51127819548873,114.0,119.31247172889411,266,1.7669172932330828,3.4135338345864663,36.05263157894737,4.6681203007518794,34.13215859030837,65.9404255319149
les Roquetes,50.95454545454545,54.5,36.089145278413106,22,1.3636363636363635,2.727272727272727,27.181818181818183,4.6854545454545455,18.683333333333334,37.36666666666667
les Tres Torres,92.70588235294117,102.0,66.82792653304368,51,1.5686274509803921,2.9215686274509802,34.490196078431374,4.60156862745098,31.731543624161073,59.1
